what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1354920747446
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354920747945
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354920758499
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1354920768925
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1354920782247
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1354920783438
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1354920801318
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354920802867
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354920807025
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1354920808273
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354920810812
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354920819496
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1354920827327
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1354920838024
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1354920843892
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1354920847901
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354920848328
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1354920848842
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354920854382
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1354920857912
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1354920859270
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1354920865980
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354920869437
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354920871024
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354920872537
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1354920873135
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354920875214
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354920886245
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1354920910732
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1354920919836
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1354920920658
